id,gender,customer_type,age,type_of_travel,travel_class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on_board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,class
115201,Female,Loyal Customer,39,Business travel,Business,3624,,3,1,1,2,,4,,5,5,5,5,5,5,2,0,satisfied
100420,Female,Loyal Customer,34,Personal Travel,,971,4,5,4,3,5,,5,,4,3,5,3,4,5,0,0,neutral
101906,Female,Loyal Customer,32,Personal Travel,Eco,1984,3,4,3,3,4,3,5,,3,5,4,3,4,4,46,,neutral
80898,Female,Loyal Customer,40,Business travel,,3442,4,2,2,2,2,3,4,4,4,4,4,1,4,2,7,,neutral
116418,Male,Loyal Customer,63,Personal Travel,,373,,5,4,4,2,,2,2,3,3,5,3,4,2,0,,neutral
24254,Female,Loyal Customer,9,Personal Travel,Eco,302,2,3,2,2,5,2,5,5,2,4,3,1,2,5,,29,neutral
56673,Male,Loyal Customer,42,,Eco,1085,3,4,3,3,4,,4,4,3,5,5,4,4,4,3,0,neutral
18236,Male,Loyal Customer,45,Business travel,,179,1,1,1,1,2,5,3,5,5,5,5,4,5,2,0,,satisfied
93195,Male,disloyal Customer,30,,,896,,4,4,3,4,,4,4,4,3,5,3,5,4,0,,neutral
9586,Male,Loyal Customer,36,Business travel,,296,4,5,5,5,4,,4,4,4,4,4,2,4,2,,0,neutral
32653,Female,disloyal Customer,26,Business travel,,216,3,2,3,3,3,3,3,3,1,3,3,4,3,3,0,0,neutral
12916,Male,Loyal Customer,55,Business travel,Eco,794,2,1,1,1,2,2,2,2,2,2,3,3,4,2,0,,neutral
27128,Male,disloyal Customer,22,Business travel,,790,3,3,3,3,3,,1,,4,3,1,1,2,1,0,,neutral
11775,Female,Loyal Customer,23,Personal Travel,Eco,429,4,1,4,3,2,,2,2,4,1,2,4,2,2,4,,satisfied
29278,Male,Loyal Customer,54,Business travel,Business,3995,3,1,1,1,2,,3,3,3,3,3,1,3,4,0,,neutral
89660,Male,Loyal Customer,56,Business travel,Business,1765,3,3,3,3,2,5,5,4,4,4,4,5,4,3,0,,satisfied
129455,Female,Loyal Customer,57,Business travel,Business,1528,1,1,1,1,3,4,5,2,2,2,2,4,2,3,,,satisfied
68219,Male,Loyal Customer,27,Business travel,Business,631,,3,2,2,5,4,5,5,5,3,5,4,4,5,0,,satisfied
29764,Male,Loyal Customer,41,Business travel,Business,198,5,5,5,5,4,4,4,4,4,4,4,5,4,4,0,,satisfied
105084,Female,Loyal Customer,45,Business travel,Business,3738,2,2,2,2,3,,4,5,5,5,5,5,5,3,0,,satisfied
38256,Female,disloyal Customer,24,,Eco,1180,,4,4,2,4,4,4,4,2,3,1,4,1,4,69,,satisfied
94302,Female,Loyal Customer,41,Business travel,Business,323,0,0,0,1,4,,5,,5,5,5,3,5,4,,,satisfied
127316,Male,Loyal Customer,33,Personal Travel,Eco,1979,1,4,1,4,1,1,1,1,5,1,1,1,4,1,0,0,neutral
66184,Female,Loyal Customer,40,Business travel,Business,2917,5,5,5,5,5,,5,5,5,5,5,3,5,4,24,,satisfied
54187,Male,Loyal Customer,17,,,1400,2,4,2,1,4,2,4,,5,2,2,5,5,4,0,,dissatisfied
56651,Female,Loyal Customer,59,,,1085,,5,5,5,2,3,3,2,2,2,2,2,2,1,0,29,neutral
106869,Male,Loyal Customer,32,Business travel,,2606,2,1,1,1,2,,2,2,1,5,3,2,3,2,0,0,neutral
39102,Female,Loyal Customer,68,Personal Travel,,328,2,3,2,3,1,4,4,4,4,2,4,3,4,3,4,,neutral
117310,Male,Loyal Customer,55,Business travel,Eco Plus,338,4,5,5,5,4,4,4,,4,1,5,3,3,4,0,,satisfied
80734,Male,Loyal Customer,22,Business travel,Business,393,3,5,5,5,3,,3,3,1,1,3,2,3,3,0,,neutral
117218,Female,Loyal Customer,50,Personal Travel,Eco,370,,4,2,1,1,2,5,4,4,2,4,5,4,4,4,2,neutral
29114,Male,Loyal Customer,13,Personal Travel,Eco,954,,3,3,3,2,3,2,,2,1,3,3,3,2,,0,dissatisfied
106768,Female,Loyal Customer,48,Personal Travel,Eco,829,4,4,4,2,5,5,4,,3,4,3,4,3,3,6,,neutral
37318,Female,disloyal Customer,29,Business travel,Eco,1010,2,2,2,1,3,2,3,3,5,2,1,3,2,3,0,0,neutral
84147,Female,disloyal Customer,7,,Eco,1355,,2,2,1,3,3,3,,4,5,4,4,4,3,0,0,neutral
76004,Male,Loyal Customer,48,,Business,237,2,2,2,2,4,5,4,,4,4,4,4,4,3,2,,satisfied
62739,Male,disloyal Customer,26,Business travel,Business,2367,4,4,4,4,4,2,2,,2,4,4,2,3,2,282,,dissatisfied
95144,Male,Loyal Customer,8,Personal Travel,,528,1,4,1,3,3,1,3,3,4,2,4,4,5,3,68,,dissatisfied
112215,Female,disloyal Customer,25,Business travel,Business,1199,1,0,1,3,3,1,3,3,3,5,4,3,4,3,0,,neutral
72877,Male,disloyal Customer,37,,Business,1096,3,3,3,2,5,,5,5,3,2,4,4,4,5,,,neutral
89248,Male,Loyal Customer,16,Personal Travel,Eco Plus,1947,3,5,3,4,4,3,4,4,4,2,3,5,5,4,0,13,neutral
11055,Male,Loyal Customer,65,Personal Travel,Eco,316,,1,2,3,5,2,5,5,2,1,3,2,3,5,0,0,dissatisfied
52634,Female,Loyal Customer,35,Business travel,Eco,160,5,2,2,2,5,5,5,,2,1,5,4,4,5,0,,satisfied
104642,Female,Loyal Customer,50,Business travel,,1754,1,1,5,1,4,5,5,2,2,2,2,3,2,3,7,0,satisfied
89155,Female,Loyal Customer,62,,Eco,1919,5,4,5,4,3,,4,1,1,5,4,4,1,5,0,0,satisfied
39374,Male,Loyal Customer,47,Personal Travel,Business,521,0,5,0,3,3,4,4,,1,0,3,3,1,4,0,0,satisfied
42100,Female,Loyal Customer,9,Business travel,Eco,898,1,3,3,3,1,,1,4,5,3,2,1,2,1,323,,neutral
68454,Female,Loyal Customer,29,Business travel,Business,1303,2,2,2,2,4,,4,4,4,5,5,5,4,4,0,0,satisfied
19364,Male,Loyal Customer,45,Business travel,Business,3908,2,4,2,2,5,4,5,5,5,5,5,4,5,4,15,8,satisfied
62986,Male,disloyal Customer,28,Business travel,,853,2,2,2,3,4,2,4,,2,1,3,2,3,4,2,,neutral
10111,Male,disloyal Customer,18,Business travel,Business,984,4,0,3,1,1,3,1,1,4,2,4,3,5,1,,,satisfied
81538,Female,Loyal Customer,38,Personal Travel,Eco,1124,3,5,3,3,3,3,3,3,5,3,5,4,4,3,0,0,neutral
62141,Female,Loyal Customer,11,Business travel,,2565,2,1,4,1,2,,2,2,2,5,3,4,3,2,51,,neutral
14503,Male,disloyal Customer,27,,Eco,328,1,5,1,3,2,1,2,2,4,1,4,4,5,2,0,56,neutral
66027,Male,disloyal Customer,21,Business travel,Eco,1055,,4,4,3,5,4,5,,4,3,4,5,5,5,0,,satisfied
88433,Female,disloyal Customer,17,Business travel,Business,270,4,4,4,3,3,,3,,3,5,4,3,4,3,0,,satisfied
114007,Female,Loyal Customer,45,Personal Travel,Eco,1844,,4,1,4,5,,4,,4,1,4,3,4,3,,,neutral
16249,Male,disloyal Customer,25,Business travel,,748,,2,2,1,3,,3,3,1,3,5,2,5,3,,88,neutral
26333,Female,Loyal Customer,29,Business travel,Business,834,5,5,5,5,5,,5,5,3,3,5,5,4,5,0,,satisfied
89595,Male,disloyal Customer,25,,,1076,,3,3,1,1,3,1,,5,3,5,3,5,1,34,47,satisfied
74969,Male,Loyal Customer,51,Personal Travel,,2475,3,0,3,3,2,3,2,,4,1,5,1,1,2,0,0,neutral
64233,Female,disloyal Customer,27,,Business,1660,0,1,1,3,3,1,3,3,3,4,4,4,4,3,0,,satisfied
26835,Male,disloyal Customer,30,Business travel,,224,2,1,1,2,2,1,2,2,2,4,2,3,3,2,0,,neutral
60383,Female,Loyal Customer,45,Business travel,Business,1452,4,4,5,4,3,,4,5,5,5,5,5,5,5,,11,satisfied
33999,Male,Loyal Customer,53,Business travel,,1598,2,5,5,5,1,3,2,2,2,2,2,4,2,1,,,neutral
83812,Female,Loyal Customer,45,Business travel,Business,3449,4,2,4,4,5,4,5,,5,5,5,3,5,4,9,9,satisfied
117314,Female,Loyal Customer,8,Personal Travel,Eco Plus,647,,2,3,3,2,,5,,2,4,3,3,2,2,0,,neutral
33855,Male,Loyal Customer,15,Personal Travel,Eco,1609,2,5,2,3,4,,4,4,4,4,4,5,4,4,0,,dissatisfied
12876,Female,Loyal Customer,23,Business travel,Business,359,2,2,2,2,5,,5,,3,2,1,5,5,5,0,,satisfied
87614,Male,Loyal Customer,43,Personal Travel,Business,591,3,4,3,2,4,,5,,4,3,4,5,4,5,26,12,neutral
17223,Female,Loyal Customer,12,Business travel,Business,3468,,2,1,2,2,2,2,2,3,3,1,5,1,2,0,,satisfied
129396,Female,Loyal Customer,52,Personal Travel,Business,414,,4,1,1,3,3,5,,3,1,3,1,3,2,0,,satisfied
79803,Male,disloyal Customer,22,Business travel,Business,950,,0,5,1,1,,1,1,3,2,5,4,5,1,6,40,satisfied
8881,Female,Loyal Customer,18,Business travel,Business,539,3,4,4,4,3,,3,,4,4,4,4,3,3,0,,neutral
47970,Female,Loyal Customer,33,Personal Travel,,451,2,5,2,1,3,2,3,3,1,2,1,5,2,3,10,,neutral
112707,Female,disloyal Customer,9,Business travel,Eco,697,,4,4,4,5,4,5,,3,3,4,1,4,5,22,,neutral
13503,Male,Loyal Customer,48,,,106,,5,1,1,5,5,5,,3,2,5,4,3,5,0,3,satisfied
34582,Male,Loyal Customer,36,,Eco,1598,4,5,5,5,4,4,4,4,1,3,4,2,4,4,0,,satisfied
10469,Male,Loyal Customer,54,Business travel,,312,2,2,2,2,5,5,4,5,5,5,5,5,5,5,0,0,satisfied
91677,Female,disloyal Customer,21,Business travel,Eco,588,,0,4,4,2,,5,,4,4,4,5,5,2,0,,satisfied
109451,Female,disloyal Customer,22,Business travel,,861,2,2,2,1,5,2,5,,5,5,5,3,4,5,0,,neutral
123616,Female,Loyal Customer,49,Business travel,,1773,3,4,4,4,5,,4,2,2,3,2,3,2,2,0,,neutral
29356,Male,Loyal Customer,77,,Business,2349,,3,5,3,1,3,5,1,1,2,1,1,1,3,0,,satisfied
128246,Male,Loyal Customer,11,Personal Travel,Eco Plus,602,3,4,3,4,1,,1,,4,4,4,2,3,1,0,,neutral
38487,Male,Loyal Customer,53,,Business,2475,5,5,5,5,3,4,5,5,5,5,5,5,5,4,3,0,satisfied
115393,Female,Loyal Customer,41,Business travel,,2465,1,0,0,3,2,4,3,,5,0,1,1,5,4,,0,neutral
56917,Male,Loyal Customer,51,Business travel,Business,2565,5,5,5,5,2,2,2,,5,5,4,2,3,2,0,,satisfied
44146,Male,Loyal Customer,17,Personal Travel,Eco,120,3,5,3,4,4,3,4,4,2,4,1,3,5,4,33,13,neutral
16913,Female,Loyal Customer,60,Business travel,Eco Plus,746,5,2,2,2,4,2,4,5,5,5,5,2,5,5,7,0,satisfied
64171,Male,Loyal Customer,70,Personal Travel,Eco,989,2,5,2,3,4,2,4,4,4,5,4,5,4,4,0,,neutral
53329,Female,Loyal Customer,30,Business travel,Eco Plus,811,,1,1,1,4,4,4,4,3,1,4,1,2,4,0,0,satisfied
9211,Male,Loyal Customer,57,Business travel,Business,100,,4,0,5,4,,5,5,5,5,1,3,5,5,0,,satisfied
5854,Male,Loyal Customer,31,Business travel,Business,1020,3,3,4,3,4,4,4,,4,5,4,3,4,4,0,3,satisfied
126279,Female,Loyal Customer,62,Personal Travel,Eco,468,,4,3,3,5,4,5,3,3,3,3,3,3,3,0,6,dissatisfied
123491,Female,disloyal Customer,30,Business travel,Business,2125,2,2,2,2,5,2,5,5,3,4,4,4,4,5,0,4,neutral
111421,Female,Loyal Customer,51,Business travel,Business,2423,3,3,1,3,4,5,5,,4,4,4,5,4,4,0,0,satisfied
25450,Female,Loyal Customer,35,Personal Travel,,669,2,5,2,4,2,2,2,,5,2,5,5,4,2,2,0,neutral
84303,Male,Loyal Customer,48,Business travel,,3481,5,5,5,5,5,4,4,3,3,4,3,5,3,3,5,,satisfied
111200,Male,Loyal Customer,49,,,1506,4,4,4,4,5,4,4,4,4,4,4,5,4,3,,0,satisfied
55837,Male,Loyal Customer,44,Business travel,,1416,1,1,1,1,4,,5,,4,4,4,4,4,3,0,39,satisfied
104841,Female,Loyal Customer,63,Personal Travel,,426,,3,3,3,1,,4,1,1,3,1,1,1,3,33,20,neutral
64774,Female,Loyal Customer,39,,,247,,2,2,2,4,4,5,,4,4,4,4,4,5,10,0,satisfied
117407,Male,Loyal Customer,36,Business travel,Business,1136,3,3,3,3,3,4,4,4,4,4,4,4,4,5,0,,satisfied
114056,Male,Loyal Customer,39,,Business,1947,2,2,2,2,5,,4,,5,5,5,4,5,3,19,,satisfied
65165,Female,Loyal Customer,43,Personal Travel,,247,3,2,3,2,4,2,3,,5,3,5,3,5,1,0,7,neutral
84879,Male,Loyal Customer,43,Personal Travel,Eco,547,2,3,2,4,5,,3,5,4,3,3,4,3,5,0,,neutral
60412,Male,Loyal Customer,24,,,1452,2,3,3,3,2,3,3,,2,1,4,1,4,2,18,,neutral
121257,Female,Loyal Customer,51,Business travel,,3201,3,3,3,3,4,,2,5,5,5,5,4,5,5,0,,satisfied
126631,Female,disloyal Customer,22,Business travel,Eco,602,1,4,1,4,4,,4,4,2,1,4,3,4,4,35,27,neutral
114780,Female,Loyal Customer,57,Business travel,,2275,2,2,4,2,4,,4,4,4,4,4,5,4,5,,0,satisfied
63926,Female,Loyal Customer,41,Personal Travel,,1172,3,5,3,2,1,3,1,1,4,4,3,4,4,1,0,6,neutral
36095,Male,Loyal Customer,35,Personal Travel,,399,4,4,3,2,3,3,4,3,4,3,5,5,5,3,0,0,satisfied
88095,Male,Loyal Customer,40,Business travel,Business,2189,4,4,4,4,5,4,4,5,5,5,5,3,5,5,0,,satisfied
116046,Female,Loyal Customer,28,Personal Travel,,325,,2,0,3,4,0,4,,2,5,4,3,3,4,1,0,satisfied
23744,Female,Loyal Customer,41,Personal Travel,Business,1083,,5,2,5,5,,3,5,5,2,5,1,5,4,0,,neutral
18440,Male,Loyal Customer,54,Business travel,Business,3648,3,3,3,3,5,,5,4,4,4,5,5,4,3,0,,satisfied
128107,Female,Loyal Customer,53,Business travel,Business,1587,,1,1,1,4,5,5,5,5,5,5,3,5,5,2,,satisfied
96036,Male,Loyal Customer,24,Business travel,,3376,1,0,0,2,3,0,3,,2,5,2,4,2,3,11,,neutral
118085,Female,Loyal Customer,62,,,3599,4,1,1,1,2,4,4,,4,4,4,3,4,3,93,71,dissatisfied
97374,Male,Loyal Customer,67,Personal Travel,Eco,843,3,5,2,1,1,2,1,1,5,4,4,4,5,1,33,24,neutral
4425,Female,Loyal Customer,57,Business travel,Business,3760,,5,5,5,4,4,5,3,3,4,3,4,3,5,0,,satisfied
129360,Male,Loyal Customer,58,Business travel,Business,2454,,4,4,4,4,3,4,,2,2,2,3,2,4,1,,satisfied
56299,Female,Loyal Customer,69,Personal Travel,,2227,3,5,3,3,3,,4,,5,3,5,3,5,3,2,,neutral
74415,Male,Loyal Customer,49,Business travel,,3328,4,4,2,4,5,,5,,4,4,4,5,4,5,,0,satisfied
105357,Male,Loyal Customer,38,Personal Travel,Eco,409,2,5,2,5,2,2,2,2,5,2,5,3,5,2,0,,neutral
28169,Female,disloyal Customer,30,Business travel,,933,3,3,3,4,3,3,4,,5,5,3,5,1,3,4,3,neutral
29333,Female,Loyal Customer,49,,Eco,834,4,5,4,4,4,,5,,4,4,4,4,4,4,42,,neutral
69478,Male,Loyal Customer,18,Personal Travel,,1096,4,4,4,3,1,,1,,3,5,3,3,3,1,0,,satisfied
31874,Female,Loyal Customer,33,Business travel,,4983,,1,1,1,4,4,4,4,1,4,5,4,3,4,0,,satisfied
40577,Male,Loyal Customer,49,Business travel,Eco,411,1,4,4,4,1,,1,1,4,1,3,1,2,1,5,0,neutral
26546,Female,Loyal Customer,7,Personal Travel,Eco,990,2,4,2,1,2,2,2,2,5,3,5,3,5,2,0,,neutral
33904,Female,Loyal Customer,8,Personal Travel,Eco,1226,2,3,2,2,1,2,1,1,4,3,2,4,3,1,70,64,neutral
52392,Male,Loyal Customer,9,,,370,,2,1,4,2,,2,2,3,4,4,4,4,2,0,,neutral
48856,Male,Loyal Customer,36,Business travel,Business,3635,,5,5,5,4,2,4,4,4,4,4,1,4,1,,,satisfied
91919,Male,Loyal Customer,35,Business travel,,2475,4,4,4,4,3,5,5,4,4,4,4,4,4,5,,,satisfied
69031,Female,disloyal Customer,45,,Business,1389,4,4,4,2,4,,4,,3,5,4,4,5,4,0,,satisfied
108642,Female,Loyal Customer,37,Personal Travel,Eco,528,3,5,5,2,5,5,5,5,4,1,1,4,3,5,8,,neutral
122483,Male,Loyal Customer,8,Personal Travel,Eco,575,2,5,2,3,5,2,5,,3,2,5,4,4,5,,0,neutral
106633,Male,Loyal Customer,44,Business travel,Business,1613,,1,1,1,4,4,3,4,4,4,4,3,4,3,8,15,neutral
67011,Male,disloyal Customer,24,Business travel,Eco,1121,4,4,4,2,5,4,5,5,5,3,4,3,4,5,0,,satisfied
54662,Female,disloyal Customer,37,,,965,2,2,2,2,5,2,5,,3,5,2,1,2,5,1,0,neutral
32061,Female,Loyal Customer,58,Business travel,,1510,,5,1,3,3,3,2,2,2,2,2,2,2,1,0,0,satisfied
26611,Male,Loyal Customer,36,Business travel,,404,,3,3,3,4,2,3,2,2,2,2,1,2,3,12,,neutral
79894,Female,disloyal Customer,20,Business travel,,1096,,3,3,2,4,,5,,4,4,4,4,4,4,0,0,dissatisfied
50881,Female,Loyal Customer,64,Personal Travel,,89,2,4,0,3,5,,5,5,5,0,5,4,5,5,0,0,neutral
56928,Female,disloyal Customer,25,Business travel,Eco,824,,3,3,4,3,4,4,3,1,4,3,4,3,4,0,24,neutral
119466,Female,Loyal Customer,32,,Business,814,5,5,5,5,4,4,4,,5,4,4,4,5,4,0,,satisfied
54543,Female,Loyal Customer,56,Personal Travel,Eco,925,2,5,2,5,5,4,5,3,3,2,3,4,3,3,13,0,neutral
11614,Male,Loyal Customer,60,,Eco,657,3,5,3,4,1,,1,,3,2,5,3,2,1,,,neutral
54815,Male,Loyal Customer,41,Business travel,Business,2530,,4,5,4,1,,2,4,4,4,4,3,4,4,100,,satisfied
8519,Female,Loyal Customer,16,Personal Travel,,862,3,4,3,4,4,3,4,,5,5,4,5,5,4,21,,dissatisfied
6550,Male,Loyal Customer,15,Business travel,,2959,5,4,5,5,4,5,4,,3,5,5,4,4,4,2,0,satisfied
120883,Male,Loyal Customer,51,Business travel,Business,2230,,1,1,1,2,,4,4,4,4,4,4,4,3,1,17,satisfied
48988,Male,Loyal Customer,50,Business travel,Eco,421,,5,5,5,4,4,4,,1,4,3,5,5,4,0,13,satisfied
28473,Female,disloyal Customer,28,Business travel,,1160,,3,3,3,3,,3,3,1,2,2,2,4,3,,,neutral
85105,Female,Loyal Customer,24,,,731,2,2,2,2,5,5,5,5,4,5,5,3,4,5,,0,satisfied
10813,Male,Loyal Customer,40,,,216,2,2,2,2,4,5,4,5,5,5,5,5,5,5,0,,satisfied
37706,Male,Loyal Customer,41,Personal Travel,Eco,1005,3,5,3,4,2,3,2,,4,5,4,4,4,2,0,,neutral
129865,Male,Loyal Customer,38,Business travel,Business,2740,3,3,3,3,2,,4,5,5,5,5,4,5,5,0,0,satisfied
7927,Female,Loyal Customer,8,Personal Travel,,1020,,0,0,2,4,,1,4,3,5,5,3,5,4,,0,neutral
79628,Male,Loyal Customer,55,Business travel,,3534,,2,5,5,2,,3,,2,2,2,3,2,4,0,0,neutral
108264,Female,disloyal Customer,41,Business travel,Business,495,4,4,4,3,4,4,4,4,3,3,2,3,1,4,110,109,satisfied
11684,Male,Loyal Customer,8,Personal Travel,Business,429,1,5,1,1,5,1,1,5,2,5,2,5,2,5,0,,neutral
118386,Female,Loyal Customer,49,Business travel,Business,1659,5,5,4,5,3,,4,,3,4,3,5,3,3,,,satisfied
67537,Male,disloyal Customer,29,,Business,1235,1,1,1,4,1,,1,1,4,4,3,4,3,1,2,0,neutral
125237,Male,Loyal Customer,29,,Eco,1149,,1,1,1,2,2,2,,1,3,4,2,3,2,,0,neutral
7195,Male,Loyal Customer,62,Business travel,,139,,1,1,1,2,2,2,,3,3,4,3,3,2,0,,neutral
68145,Male,Loyal Customer,41,Business travel,Business,2142,,2,2,2,5,5,5,4,4,4,4,4,4,5,0,,satisfied
50263,Female,Loyal Customer,30,Business travel,,209,2,3,3,3,3,2,2,3,3,5,4,3,3,3,43,,neutral
111736,Female,Loyal Customer,17,Business travel,,1154,3,3,3,3,4,5,4,4,5,2,4,4,4,4,0,2,satisfied
67543,Male,Loyal Customer,41,Personal Travel,,1205,2,4,2,4,3,2,3,2,2,2,2,2,2,1,10,14,neutral
124,Female,Loyal Customer,7,Personal Travel,Eco,562,,5,1,2,2,,5,2,5,2,5,4,5,2,0,,neutral
90586,Male,Loyal Customer,22,,Business,3879,,2,2,2,3,3,3,3,3,1,4,4,3,3,,49,neutral
6691,Female,Loyal Customer,54,Business travel,Business,3303,,3,3,3,2,5,4,4,4,4,4,5,4,4,6,0,satisfied
40252,Female,Loyal Customer,24,Business travel,Business,347,,1,1,1,3,,3,3,4,2,4,3,3,3,0,0,neutral
46501,Female,Loyal Customer,35,Business travel,Eco,125,,2,2,2,5,,5,,5,4,3,1,5,5,45,,satisfied
31037,Female,Loyal Customer,20,Business travel,Eco,775,5,5,5,5,5,,3,5,4,4,5,4,5,5,1,17,satisfied
51504,Male,disloyal Customer,26,,Eco,370,2,3,2,5,5,2,5,5,3,3,5,3,3,5,0,,neutral
115060,Female,Loyal Customer,44,Business travel,Business,417,1,1,4,1,5,4,4,4,4,4,4,3,4,4,0,0,satisfied
78504,Male,disloyal Customer,65,Business travel,Business,266,4,4,4,2,2,4,2,,1,1,2,4,1,2,0,0,neutral
128342,Female,Loyal Customer,51,Business travel,,2318,,1,1,1,5,,5,,4,4,4,5,4,3,0,0,satisfied
10439,Female,Loyal Customer,42,Business travel,,1546,,1,1,1,2,,4,5,5,5,5,3,5,5,0,1,satisfied
103772,Female,Loyal Customer,15,Personal Travel,,1072,2,5,2,4,5,2,5,5,5,5,4,5,5,5,0,0,neutral
112658,Female,Loyal Customer,40,Personal Travel,Business,723,4,3,4,4,5,,5,1,1,4,1,2,1,3,14,0,neutral
114664,Male,Loyal Customer,44,,,2592,1,1,5,1,2,5,4,,4,4,4,3,4,5,,24,satisfied
118163,Female,disloyal Customer,27,Business travel,Business,1444,,5,5,1,5,5,5,5,3,2,5,5,4,5,71,47,satisfied
50267,Female,disloyal Customer,35,Business travel,Eco,86,,0,0,2,3,0,3,3,3,2,4,2,4,3,,0,neutral
585,Male,Loyal Customer,46,Business travel,,164,1,1,4,1,2,,4,4,4,4,5,3,4,3,0,0,satisfied
54027,Female,Loyal Customer,42,Personal Travel,Eco,1091,,3,3,4,5,3,4,5,5,3,5,2,5,3,0,,neutral
29477,Male,Loyal Customer,46,Business travel,,1107,1,4,4,4,2,,2,2,3,3,3,2,4,2,,,neutral
94241,Male,Loyal Customer,45,Business travel,Business,319,4,4,4,4,4,4,5,,4,5,4,3,4,5,3,,satisfied
121274,Male,Loyal Customer,56,Business travel,Business,2075,,1,1,1,4,,5,4,4,4,4,3,4,3,16,,satisfied
4446,Male,Loyal Customer,61,Personal Travel,,762,2,5,1,4,2,1,2,2,3,3,5,3,4,2,0,,neutral
98712,Female,Loyal Customer,31,Business travel,Business,993,5,5,5,5,4,4,4,,5,5,4,3,4,4,0,,satisfied
73480,Male,Loyal Customer,28,Personal Travel,Eco,1012,,2,4,1,1,4,1,1,2,5,1,3,2,1,0,,neutral
53250,Female,Loyal Customer,47,,Eco Plus,612,,2,2,2,2,,4,4,4,4,4,2,4,2,,,neutral
73204,Male,Loyal Customer,31,Personal Travel,Eco,1258,1,4,1,3,2,1,2,2,3,5,5,3,5,2,12,4,neutral
56506,Male,disloyal Customer,21,Business travel,Business,1065,,0,4,2,5,4,5,5,3,5,4,5,5,5,0,0,satisfied
79285,Male,Loyal Customer,43,Business travel,Business,2248,5,5,5,5,4,4,4,5,3,5,5,4,4,4,0,,satisfied
125746,Female,Loyal Customer,41,Business travel,,2748,1,2,2,2,1,,4,,1,1,1,3,1,3,83,,neutral
30034,Male,disloyal Customer,20,Business travel,Eco,123,1,0,1,4,3,,3,3,3,4,1,3,1,3,0,,neutral
23549,Male,Loyal Customer,43,,Business,1511,,4,4,4,5,4,5,4,4,4,4,3,4,3,0,,satisfied
97123,Female,disloyal Customer,25,Business travel,,1242,,3,3,4,5,,5,,2,5,4,1,3,5,51,,neutral
112758,Female,Loyal Customer,38,,Business,588,2,2,2,2,2,5,4,,4,5,4,3,4,5,66,58,satisfied
5900,Male,Loyal Customer,30,Business travel,Business,3156,2,4,4,4,1,,2,1,2,2,3,2,3,1,,,neutral
101816,Female,Loyal Customer,43,Business travel,Business,1521,,5,4,5,5,2,1,2,2,2,2,3,2,1,11,,neutral
87469,Female,Loyal Customer,49,Business travel,,3996,,2,2,2,5,4,5,5,5,5,5,5,5,3,46,56,satisfied
49798,Female,disloyal Customer,54,Business travel,,156,5,0,5,5,4,5,4,4,3,3,1,4,3,4,0,,satisfied
30905,Female,Loyal Customer,42,Business travel,Business,2331,,2,2,2,4,4,2,4,4,4,4,3,4,3,0,0,satisfied
51614,Male,Loyal Customer,44,Business travel,Business,2155,4,5,4,4,1,1,2,5,5,5,5,2,5,4,,0,satisfied
6678,Female,Loyal Customer,55,,Business,438,5,5,5,5,3,4,5,5,5,5,5,4,5,3,0,,satisfied
77355,Female,disloyal Customer,20,Business travel,Eco,532,2,1,2,3,5,,5,5,4,5,4,2,3,5,0,9,neutral
55867,Male,Loyal Customer,8,Business travel,,2753,1,5,5,5,1,1,1,1,1,1,3,4,4,1,30,23,neutral
122567,Male,Loyal Customer,60,Business travel,Business,500,3,3,2,3,2,5,5,5,5,5,5,5,5,5,0,,satisfied
62995,Female,Loyal Customer,24,,Business,2489,,3,3,3,2,2,2,2,2,5,2,3,2,2,,9,dissatisfied
63735,Male,Loyal Customer,26,Personal Travel,Eco,1660,4,1,4,4,5,,5,5,2,1,4,2,3,5,0,0,satisfied
32446,Male,Loyal Customer,40,Business travel,Business,216,1,1,1,1,5,4,3,1,1,1,1,4,1,2,,0,neutral
79260,Male,Loyal Customer,47,Personal Travel,Eco,1598,3,4,3,4,5,,5,,4,2,3,3,5,5,0,0,neutral
42995,Male,Loyal Customer,53,Business travel,Business,1565,5,5,5,5,5,,5,4,4,4,5,5,4,1,0,0,satisfied
1278,Male,Loyal Customer,14,Personal Travel,Eco,229,2,4,2,4,3,2,3,,3,2,4,3,5,3,0,,neutral
53662,Female,Loyal Customer,11,Personal Travel,,1208,2,2,2,3,4,2,4,4,3,2,1,1,2,4,0,,dissatisfied
56847,Female,disloyal Customer,34,Business travel,Business,2454,,3,3,3,3,2,2,3,2,4,3,2,3,2,0,0,neutral
10810,Female,disloyal Customer,38,Business travel,Business,429,1,1,1,5,2,1,2,2,4,2,5,5,4,2,0,0,neutral
33386,Male,Loyal Customer,54,Business travel,,2556,1,1,1,1,1,,1,,1,4,3,1,4,1,146,116,neutral
100191,Male,Loyal Customer,61,Personal Travel,Eco,725,,5,2,3,2,,2,2,4,3,3,2,4,2,4,0,dissatisfied
40234,Female,Loyal Customer,32,Business travel,,3067,,1,3,1,2,2,2,,1,5,3,1,4,2,,0,neutral
